"dataset","feature_method","clustering_method","k_policy","n_requested","n_features_realised","value","baron_repaired"
"Darmanis","DIFS","Refined Louvain","true",2500,2500,0.815450643776824,FALSE
"Darmanis","FEAST","Refined Louvain","true",2500,2500,0.783261802575107,FALSE
"Darmanis","GateOnly","Refined Louvain","true",2500,2346,0.830472103004292,FALSE
"Darmanis","Seurat","Refined Louvain","true",2500,2500,0.811158798283262,FALSE
"Darmanis","Variance","Refined Louvain","true",2500,2500,0.821888412017167,FALSE
"Darmanis","DIFS","SC3","true",2500,2500,0.811158798283262,FALSE
"Darmanis","FEAST","SC3","true",2500,2500,0.82618025751073,FALSE
"Darmanis","GateOnly","SC3","true",2500,2346,0.793991416309013,FALSE
"Darmanis","Seurat","SC3","true",2500,2500,0.809012875536481,FALSE
"Darmanis","Variance","SC3","true",2500,2500,0.789699570815451,FALSE
"Fletcher","DIFS","Refined Louvain","estimated",0,2918,0.871753246753247,FALSE
"Fletcher","FEAST","Refined Louvain","estimated",0,2918,0.797077922077922,FALSE
"Fletcher","GateOnly","Refined Louvain","estimated",0,2918,0.862012987012987,FALSE
